antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'84775'}),frozenset({'1023718'}),0.054780610336165894,0.03151443892184633,0.005665116776227887,0.10341463414634146,3.2815000896193247,1.0,0.003938736577687323,1.0801933624647524,0.7355555010287781,0.07026071586389748,0.07423982154618103,0.14158860593693556
frozenset({'1023718'}),frozenset({'84775'}),0.03151443892184633,0.054780610336165894,0.005665116776227887,0.17976257772752968,3.2815000896193247,1.0,0.003938736577687323,1.1523729154481892,0.7178850668380712,0.07026071586389748,0.13222535292659776,0.14158860593693556
frozenset({'84775'}),frozenset({'3781030'}),0.054780610336165894,0.047619047619047616,0.0062708210856359005,0.11447154471544715,2.40390243902439,1.0,0.0036622205934375247,1.0754944651382403,0.6178562846319123,0.06523350630096368,0.07019512195121952,0.12307939375690054
frozenset({'3781030'}),frozenset({'84775'}),0.047619047619047616,0.054780610336165894,0.0062708210856359005,0.13168724279835392,2.40390243902439,1.0,0.0036622205934375247,1.0885701975749371,0.6132102272727273,0.06523350630096368,0.0813637905688115,0.12307939375690054
frozenset({'88715'}),frozenset({'3781030'}),0.04850978925052999,0.047619047619047616,0.005415709119412823,0.11164157179581344,2.3444730077120823,1.0,0.003105719155101871,1.072068347802122,0.6027018521073325,0.05970149253731343,0.06722365038560411,0.11268573165174137
frozenset({'3781030'}),frozenset({'88715'}),0.047619047619047616,0.04850978925052999,0.005415709119412823,0.11372989150766928,2.3444730077120823,1.0,0.003105719155101871,1.0735894188827917,0.6021381578947369,0.05970149253731343,0.06854521625163826,0.11268573165174137
frozenset({'84775'}),frozenset({'8436'}),0.054780610336165894,0.0864375679190494,0.0075000445370815745,0.13691056910569105,1.5839243560613676,1.0,0.0027649418105022555,1.0584794569136862,0.39002238307041576,0.05608846256328271,0.055248551619698445,0.11183945602852566
frozenset({'8436'}),frozenset({'84775'}),0.0864375679190494,0.054780610336165894,0.0075000445370815745,0.08676834295136027,1.5839243560613676,1.0,0.0027649418105022555,1.035026964262903,0.40353752073770244,0.05608846256328271,0.03384159589296064,0.11183945602852566
frozenset({'8436'}),frozenset({'8487'}),0.0864375679190494,0.039851780592521334,0.005914524433042951,0.06842539159109645,1.716997097086731,1.0,0.0024698334413818337,1.0306723806559925,0.457098298225957,0.04913423116767796,0.029759583386207086,0.1084192223936707
frozenset({'8487'}),frozenset({'8436'}),0.039851780592521334,0.0864375679190494,0.005914524433042951,0.14841305319624495,1.7169970970867308,1.0,0.0024698334413818337,1.0727764622388904,0.43492017647553255,0.04913423116767796,0.067839354050522,0.1084192223936707
frozenset({'8436'}),frozenset({'88715'}),0.0864375679190494,0.04850978925052999,0.006377710081413785,0.07378400659521847,1.5210127220746965,1.0,0.002184641878332327,1.027287606265338,0.37495335972823207,0.04960509907163641,0.026562771806953725,0.10262832353264413
frozenset({'88715'}),frozenset({'8436'}),0.04850978925052999,0.0864375679190494,0.006377710081413785,0.1314726404700698,1.5210127220746965,1.0,0.002184641878332327,1.0518522209540924,0.36000717543949573,0.04960509907163641,0.0492961082565946,0.10262832353264413
frozenset({'8436'}),frozenset({'88731'}),0.0864375679190494,0.039602372935706266,0.005558227780450003,0.06430338004946415,1.6237254306417326,1.0,0.0021350949800643688,1.0263985212590205,0.42047736978608075,0.046133372763566466,0.025719562832805996,0.10232712862122331
frozenset({'88731'}),frozenset({'8436'}),0.039602372935706266,0.0864375679190494,0.005558227780450003,0.14035087719298248,1.6237254306417324,1.0,0.0021350949800643688,1.062715482216616,0.39997217584863665,0.046133372763566466,0.0590143676892745,0.10232712862122331
frozenset({'84775'}),frozenset({'88715'}),0.054780610336165894,0.04850978925052999,0.0071615627171182725,0.13073170731707318,2.69495516960311,1.0,0.004504166854695461,1.0945875039486048,0.6653865974886396,0.07449962935507783,0.08641383499025031,0.1391814981682685
frozenset({'88715'}),frozenset({'84775'}),0.04850978925052999,0.054780610336165894,0.0071615627171182725,0.14763128901946382,2.6949551696031095,1.0,0.004504166854695461,1.1089325282441276,0.6610013497388549,0.07449962935507783,0.09823188108352299,0.1391814981682685
frozenset({'84775'}),frozenset({'88731'}),0.054780610336165894,0.039602372935706266,0.006431154579302728,0.11739837398373984,2.964427767354597,1.0,0.004261712419124281,1.0881439584460957,0.7010719153419,0.0731213287421511,0.08100394967221794,0.13989576818845112
frozenset({'88731'}),frozenset({'84775'}),0.039602372935706266,0.054780610336165894,0.006431154579302728,0.16239316239316243,2.964427767354597,1.0,0.004261712419124281,1.1284762101088632,0.6899920920832968,0.0731213287421511,0.11384928539740258,0.13989576818845112
frozenset({'8487'}),frozenset({'8512'}),0.039851780592521334,0.03424010831418239,0.006431154579302728,0.16137684398748325,4.7130938520028085,1.0,0.005066625295301766,1.1516017471754658,0.8205245086772227,0.09505002632964718,0.13164424901863822,0.1746010130447302
frozenset({'8512'}),frozenset({'8487'}),0.03424010831418239,0.039851780592521334,0.006431154579302728,0.18782518210197713,4.7130938520028085,1.0,0.005066625295301766,1.1821940279956273,0.8157567453038606,0.09505002632964718,0.15411516526143465,0.1746010130447302
