HSHD_NUM,TOTAL_SPEND,TOTAL_UNITS,TRANSACTIONS,CHURNED,PREDICTED_CHURN
3733,415.13,108,90,1,1
3739,72.04,15,14,1,1
3755,43.21,15,9,1,1
3758,12377.6,4347,3464,0,0
3784,13112.14,5271,4112,0,0
3785,21164.56,5913,4996,0,0
3800,4906.64,1978,1545,0,0
3809,22705.1,6553,4956,0,0
3811,6155.16,4261,3501,0,0
3819,2466.73,1165,849,0,0
3820,11606.29,3861,3010,0,0
3840,18246.47,7785,5426,0,0
3842,5945.62,2414,2072,0,0
3881,4485.91,1414,1157,0,0
3889,19505.58,6765,5056,0,0
3893,10828.68,5455,4015,0,0
3895,6422.54,3427,2893,0,0
3904,28125.35,8859,7780,0,0
3940,16783.4,5015,3849,0,0
3964,11293.16,4671,3582,0,0
3969,6578.27,2219,1616,0,0
3977,6680.82,2667,1520,0,0
3988,3610.27,731,507,0,0
3993,8480.39,3044,2391,0,0
4005,9618.6,3048,2613,0,0
4011,12515.93,4336,2768,0,0
4017,5088.41,1818,1386,0,0
4037,12022.75,3165,2457,0,0
4057,8085.610000000001,3179,2384,0,0
4061,22.72,8,8,1,1
4062,156.66,47,36,1,1
4065,7574.03,3064,2117,0,0
4078,24072.08,7437,5714,0,0
4085,15605.82,5443,4488,0,0
4105,714.17,252,201,0,0
4126,19202.02,4887,3556,0,0
4146,12285.73,3954,3407,0,0
4159,5114.58,1695,1520,0,0
4171,8130.74,3477,2718,0,0
4183,5680.74,2908,2578,0,0
4214,10465.31,2610,2295,0,0
4218,23879.56,6621,5500,0,0
4249,12202.23,3998,3078,0,0
4264,8546.52,3716,2769,0,0
4272,6.99,1,1,1,1
4293,16672.16,4449,3241,0,0
4351,16.98,2,1,1,1
4363,5.19,2,2,1,1
4366,5763.85,1161,1028,0,0
4372,6020.33,1678,1389,0,0
4405,10481.93,2788,2171,0,0
4406,3291.14,1437,1010,0,0
4414,10784.69,4386,3477,0,0
4420,14150.3,4012,3468,0,0
4432,96.87,31,22,1,1
4439,11283.07,3641,1848,0,0
4453,7988.16,3143,2782,0,0
4457,7251.26,2660,1949,0,0
4458,19328.64,5538,4199,0,0
4498,5108.45,1870,1406,0,0
4506,7572.7,2123,1681,0,0
4552,299.11,92,85,1,1
4568,8347.81,1558,1069,0,0
4570,6.98,2,2,1,1
4587,871.29,244,211,0,0
4594,7825.57,2723,1925,0,0
4603,8738.710000000001,2710,1971,0,0
4604,11911.95,3934,2901,0,0
4606,6890.89,2293,1575,0,0
4607,12953.74,3293,2556,0,0
4614,5575.36,1750,1415,0,0
4623,7849.57,2148,1919,0,0
4713,21038.89,7348,6113,0,0
4716,5241.53,1282,1050,0,0
4719,9423.83,3670,2419,0,0
4724,3402.35,1346,1196,0,0
4725,7784.46,3170,2669,0,0
4740,6265.28,2118,1524,0,0
4745,8770.72,3509,2786,0,0
4753,223.18,81,61,1,1
4757,4875.35,1347,1150,0,0
4766,15210.08,6231,5119,0,0
4774,5120.78,1570,1201,0,0
4778,15215.07,5374,3973,0,0
4809,8651.25,3364,2451,0,0
4813,1.0,2,1,1,1
4816,6270.59,2996,2243,0,0
4823,117.24,44,36,1,1
4836,16104.64,5810,5308,0,0
4851,3811.04,1259,983,0,0
4857,14970.55,6317,5006,0,0
4878,5889.13,2101,1678,0,0
4879,10023.69,2925,2223,0,0
4897,7144.02,2361,2153,0,0
4904,12531.68,4376,3439,0,0
4909,54.35,14,13,1,1
4974,6545.110000000001,2051,1912,0,0
4982,8554.52,2624,1986,0,0
4987,18877.53,6694,3400,0,0
4989,15.7,2,2,1,1
